{'loss': 4.9215146484375, 'learning_rate': 4.971460861425359e-05, 'epoch': 0.005707827714928252}
{'loss': 4.89647998046875, 'learning_rate': 4.942921722850718e-05, 'epoch': 0.011415655429856505}
{'loss': 4.87140966796875, 'learning_rate': 4.914382584276077e-05, 'epoch': 0.01712348314478476}
{'loss': 4.8285703125, 'learning_rate': 4.885843445701435e-05, 'epoch': 0.02283131085971301}
{'loss': 4.84872998046875, 'learning_rate': 4.857304307126794e-05, 'epoch': 0.028539138574641264}
{'loss': 0.8259109700520834, 'learning_rate': 4.8287651685521526e-05, 'epoch': 0.03424696628956952}
{'loss': 4.9180361328125, 'learning_rate': 4.8002260299775114e-05, 'epoch': 0.039954794004497765}
{'loss': 4.96269580078125, 'learning_rate': 4.77168689140287e-05, 'epoch': 0.04566262171942602}
{'loss': 4.94218359375, 'learning_rate': 4.7431477528282284e-05, 'epoch': 0.05137044943435427}
{'loss': 4.9409228515625, 'learning_rate': 4.714608614253588e-05, 'epoch': 0.05707827714928253}
{'loss': 4.91361328125, 'learning_rate': 4.686069475678946e-05, 'epoch': 0.06278610486421078}
{'loss': 4.86551904296875, 'learning_rate': 4.657530337104305e-05, 'epoch': 0.06849393257913904}
{'loss': 4.88965478515625, 'learning_rate': 4.628991198529664e-05, 'epoch': 0.07420176029406729}
{'loss': 4.8725087890625, 'learning_rate': 4.6004520599550226e-05, 'epoch': 0.07990958800899553}
{'loss': 4.8075791015625, 'learning_rate': 4.5719129213803815e-05, 'epoch': 0.08561741572392378}
{'loss': 4.8142802734375, 'learning_rate': 4.5433737828057396e-05, 'epoch': 0.09132524343885204}
{'loss': 4.8444306640625, 'learning_rate': 4.5148346442310985e-05, 'epoch': 0.09703307115378029}
{'loss': 4.8364755859375, 'learning_rate': 4.486295505656457e-05, 'epoch': 0.10274089886870855}
{'loss': 4.8110703125, 'learning_rate': 4.457756367081816e-05, 'epoch': 0.1084487265836368}
{'loss': 4.832716796875, 'learning_rate': 4.429217228507175e-05, 'epoch': 0.11415655429856505}
{'loss': 4.81948681640625, 'learning_rate': 4.400678089932534e-05, 'epoch': 0.11986438201349331}
